,date,dur_value,dur_year,dur_month
0,2023-12-01 00:00:00.000000,300534.0,2023,12
1,2023-11-01 00:00:00.000000,286515.0,2023,11
2,2023-10-01 00:00:00.000000,278895.0,2023,10
3,2023-09-01 00:00:00.000000,308103.0,2023,09
4,2023-08-01 00:00:00.000000,290578.0,2023,08
5,2023-07-01 00:00:00.000000,261612.0,2023,07
6,2023-06-01 00:00:00.000000,324238.0,2023,06
7,2023-05-01 00:00:00.000000,288640.0,2023,05
8,2023-04-01 00:00:00.000000,272375.0,2023,04
9,2023-03-01 00:00:00.000000,312535.0,2023,03
10,2023-02-01 00:00:00.000000,256827.0,2023,02
11,2023-01-01 00:00:00.000000,254810.0,2023,01
12,2022-12-01 00:00:00.000000,290149.0,2022,12
13,2022-11-01 00:00:00.000000,260444.0,2022,11
14,2022-10-01 00:00:00.000000,276884.0,2022,10
15,2022-09-01 00:00:00.000000,291058.0,2022,09
16,2022-08-01 00:00:00.000000,282058.0,2022,08
17,2022-07-01 00:00:00.000000,254244.0,2022,07
18,2022-06-01 00:00:00.000000,297467.0,2022,06
19,2022-05-01 00:00:00.000000,268450.0,2022,05
20,2022-04-01 00:00:00.000000,265210.0,2022,04
21,2022-03-01 00:00:00.000000,298698.0,2022,03
22,2022-02-01 00:00:00.000000,256201.0,2022,02
23,2022-01-01 00:00:00.000000,249090.0,2022,01
24,2021-12-01 00:00:00.000000,277162.0,2021,12
25,2021-11-01 00:00:00.000000,252835.0,2021,11
26,2021-10-01 00:00:00.000000,255674.0,2021,10
27,2021-09-01 00:00:00.000000,267847.0,2021,09
28,2021-08-01 00:00:00.000000,261167.0,2021,08
29,2021-07-01 00:00:00.000000,236768.0,2021,07
30,2021-06-01 00:00:00.000000,270551.0,2021,06
31,2021-05-01 00:00:00.000000,243078.0,2021,05
32,2021-04-01 00:00:00.000000,243549.0,2021,04
33,2021-03-01 00:00:00.000000,274247.0,2021,03
34,2021-02-01 00:00:00.000000,233531.0,2021,02
35,2021-01-01 00:00:00.000000,220753.0,2021,01
36,2020-12-01 00:00:00.000000,242930.0,2020,12
37,2020-11-01 00:00:00.000000,220655.0,2020,11
38,2020-10-01 00:00:00.000000,233663.0,2020,10
39,2020-09-01 00:00:00.000000,238016.0,2020,09
40,2020-08-01 00:00:00.000000,221265.0,2020,08
41,2020-07-01 00:00:00.000000,206285.0,2020,07
42,2020-06-01 00:00:00.000000,214072.0,2020,06
43,2020-05-01 00:00:00.000000,175703.0,2020,05
44,2020-04-01 00:00:00.000000,157561.0,2020,04
45,2020-03-01 00:00:00.000000,220693.0,2020,03
46,2020-02-01 00:00:00.000000,227138.0,2020,02
47,2020-01-01 00:00:00.000000,213007.0,2020,01
48,2019-12-01 00:00:00.000000,221440.0,2019,12
49,2019-11-01 00:00:00.000000,204977.0,2019,11
50,2019-10-01 00:00:00.000000,227950.0,2019,10
51,2019-09-01 00:00:00.000000,230879.0,2019,09
52,2019-08-01 00:00:00.000000,230146.0,2019,08
53,2019-07-01 00:00:00.000000,210957.0,2019,07
54,2019-06-01 00:00:00.000000,233532.0,2019,06
55,2019-05-01 00:00:00.000000,222308.0,2019,05
56,2019-04-01 00:00:00.000000,223136.0,2019,04
57,2019-03-01 00:00:00.000000,256782.0,2019,03
58,2019-02-01 00:00:00.000000,213183.0,2019,02
59,2019-01-01 00:00:00.000000,212040.0,2019,01
60,2018-12-01 00:00:00.000000,244033.0,2018,12
61,2018-11-01 00:00:00.000000,228715.0,2018,11
62,2018-10-01 00:00:00.000000,241698.0,2018,10
63,2018-09-01 00:00:00.000000,250482.0,2018,09
64,2018-08-01 00:00:00.000000,251047.0,2018,08
65,2018-07-01 00:00:00.000000,215563.0,2018,07
66,2018-06-01 00:00:00.000000,261303.0,2018,06
67,2018-05-01 00:00:00.000000,241381.0,2018,05
68,2018-04-01 00:00:00.000000,232566.0,2018,04
69,2018-03-01 00:00:00.000000,267966.0,2018,03
70,2018-02-01 00:00:00.000000,220102.0,2018,02
71,2018-01-01 00:00:00.000000,204233.0,2018,01
72,2017-12-01 00:00:00.000000,245890.0,2017,12
73,2017-11-01 00:00:00.000000,227489.0,2017,11
74,2017-10-01 00:00:00.000000,228903.0,2017,10
75,2017-09-01 00:00:00.000000,238111.0,2017,09
76,2017-08-01 00:00:00.000000,226802.0,2017,08
77,2017-07-01 00:00:00.000000,198965.0,2017,07
78,2017-06-01 00:00:00.000000,260483.0,2017,06
79,2017-05-01 00:00:00.000000,221670.0,2017,05
80,2017-04-01 00:00:00.000000,211837.0,2017,04
81,2017-03-01 00:00:00.000000,250539.0,2017,03
82,2017-02-01 00:00:00.000000,207597.0,2017,02
83,2017-01-01 00:00:00.000000,192655.0,2017,01
84,2016-12-01 00:00:00.000000,229243.0,2016,12
85,2016-11-01 00:00:00.000000,213364.0,2016,11
86,2016-10-01 00:00:00.000000,231422.0,2016,10
87,2016-09-01 00:00:00.000000,230956.0,2016,09
88,2016-08-01 00:00:00.000000,221537.0,2016,08
89,2016-07-01 00:00:00.000000,197867.0,2016,07
90,2016-06-01 00:00:00.000000,230820.0,2016,06
91,2016-05-01 00:00:00.000000,217981.0,2016,05
92,2016-04-01 00:00:00.000000,221215.0,2016,04
93,2016-03-01 00:00:00.000000,243551.0,2016,03
94,2016-02-01 00:00:00.000000,211114.0,2016,02
95,2016-01-01 00:00:00.000000,199424.0,2016,01
96,2015-12-01 00:00:00.000000,230959.0,2015,12
97,2015-11-01 00:00:00.000000,216692.0,2015,11
98,2015-10-01 00:00:00.000000,228138.0,2015,10
99,2015-09-01 00:00:00.000000,231339.0,2015,09
100,2015-08-01 00:00:00.000000,218267.0,2015,08
101,2015-07-01 00:00:00.000000,216803.0,2015,07
102,2015-06-01 00:00:00.000000,252759.0,2015,06
103,2015-05-01 00:00:00.000000,211139.0,2015,05
104,2015-04-01 00:00:00.000000,220091.0,2015,04
105,2015-03-01 00:00:00.000000,249239.0,2015,03
106,2015-02-01 00:00:00.000000,206166.0,2015,02
107,2015-01-01 00:00:00.000000,200582.0,2015,01
108,2014-12-01 00:00:00.000000,240457.0,2014,12
109,2014-11-01 00:00:00.000000,216401.0,2014,11
110,2014-10-01 00:00:00.000000,238710.0,2014,10
111,2014-09-01 00:00:00.000000,249698.0,2014,09
112,2014-08-01 00:00:00.000000,231195.0,2014,08
113,2014-07-01 00:00:00.000000,286876.0,2014,07
114,2014-06-01 00:00:00.000000,257228.0,2014,06
115,2014-05-01 00:00:00.000000,231723.0,2014,05
116,2014-04-01 00:00:00.000000,231365.0,2014,04
117,2014-03-01 00:00:00.000000,251763.0,2014,03
118,2014-02-01 00:00:00.000000,221433.0,2014,02
119,2014-01-01 00:00:00.000000,203981.0,2014,01
120,2013-12-01 00:00:00.000000,250119.0,2013,12
121,2013-11-01 00:00:00.000000,233300.0,2013,11
122,2013-10-01 00:00:00.000000,236784.0,2013,10
123,2013-09-01 00:00:00.000000,248206.0,2013,09
124,2013-08-01 00:00:00.000000,224074.0,2013,08
125,2013-07-01 00:00:00.000000,208090.0,2013,07
126,2013-06-01 00:00:00.000000,260225.0,2013,06
127,2013-05-01 00:00:00.000000,238678.0,2013,05
128,2013-04-01 00:00:00.000000,221353.0,2013,04
129,2013-03-01 00:00:00.000000,232999.0,2013,03
130,2013-02-01 00:00:00.000000,225639.0,2013,02
131,2013-01-01 00:00:00.000000,204169.0,2013,01
132,2012-12-01 00:00:00.000000,239368.0,2012,12
133,2012-11-01 00:00:00.000000,209712.0,2012,11
134,2012-10-01 00:00:00.000000,222736.0,2012,10
135,2012-09-01 00:00:00.000000,223423.0,2012,09
136,2012-08-01 00:00:00.000000,204001.0,2012,08
137,2012-07-01 00:00:00.000000,206771.0,2012,07
138,2012-06-01 00:00:00.000000,233259.0,2012,06
139,2012-05-01 00:00:00.000000,220785.0,2012,05
140,2012-04-01 00:00:00.000000,210894.0,2012,04
141,2012-03-01 00:00:00.000000,240680.0,2012,03
142,2012-02-01 00:00:00.000000,224922.0,2012,02
143,2012-01-01 00:00:00.000000,204013.0,2012,01
144,2011-12-01 00:00:00.000000,237529.0,2011,12
145,2011-11-01 00:00:00.000000,206403.0,2011,11
146,2011-10-01 00:00:00.000000,206574.0,2011,10
147,2011-09-01 00:00:00.000000,221336.0,2011,09
148,2011-08-01 00:00:00.000000,216719.0,2011,08
149,2011-07-01 00:00:00.000000,189215.0,2011,07
150,2011-06-01 00:00:00.000000,216548.0,2011,06
151,2011-05-01 00:00:00.000000,205025.0,2011,05
152,2011-04-01 00:00:00.000000,194922.0,2011,04
153,2011-03-01 00:00:00.000000,233078.0,2011,03
154,2011-02-01 00:00:00.000000,187466.0,2011,02
155,2011-01-01 00:00:00.000000,184037.0,2011,01
156,2010-12-01 00:00:00.000000,209011.0,2010,12
157,2010-11-01 00:00:00.000000,186603.0,2010,11
158,2010-10-01 00:00:00.000000,192327.0,2010,10
159,2010-09-01 00:00:00.000000,213131.0,2010,09
160,2010-08-01 00:00:00.000000,191888.0,2010,08
161,2010-07-01 00:00:00.000000,174685.0,2010,07
162,2010-06-01 00:00:00.000000,200080.0,2010,06
163,2010-05-01 00:00:00.000000,183535.0,2010,05
164,2010-04-01 00:00:00.000000,181528.0,2010,04
165,2010-03-01 00:00:00.000000,199993.0,2010,03
166,2010-02-01 00:00:00.000000,169065.0,2010,02
167,2010-01-01 00:00:00.000000,163488.0,2010,01
168,2009-12-01 00:00:00.000000,174485.0,2009,12
169,2009-11-01 00:00:00.000000,151230.0,2009,11
170,2009-10-01 00:00:00.000000,163196.0,2009,10
171,2009-09-01 00:00:00.000000,168746.0,2009,09
172,2009-08-01 00:00:00.000000,155455.0,2009,08
173,2009-07-01 00:00:00.000000,145376.0,2009,07
174,2009-06-01 00:00:00.000000,157122.0,2009,06
175,2009-05-01 00:00:00.000000,145714.0,2009,05
176,2009-04-01 00:00:00.000000,139893.0,2009,04
177,2009-03-01 00:00:00.000000,162107.0,2009,03
178,2009-02-01 00:00:00.000000,137245.0,2009,02
179,2009-01-01 00:00:00.000000,138218.0,2009,01
180,2008-12-01 00:00:00.000000,191734.0,2008,12
181,2008-11-01 00:00:00.000000,169856.0,2008,11
182,2008-10-01 00:00:00.000000,197291.0,2008,10
183,2008-09-01 00:00:00.000000,224233.0,2008,09
184,2008-08-01 00:00:00.000000,214872.0,2008,08
185,2008-07-01 00:00:00.000000,205540.0,2008,07
186,2008-06-01 00:00:00.000000,242479.0,2008,06
187,2008-05-01 00:00:00.000000,227995.0,2008,05
188,2008-04-01 00:00:00.000000,225075.0,2008,04
189,2008-03-01 00:00:00.000000,250906.0,2008,03
190,2008-02-01 00:00:00.000000,229870.0,2008,02
191,2008-01-01 00:00:00.000000,219946.0,2008,01
192,2007-12-01 00:00:00.000000,254048.0,2007,12
193,2007-11-01 00:00:00.000000,224134.0,2007,11
194,2007-10-01 00:00:00.000000,235158.0,2007,10
195,2007-09-01 00:00:00.000000,232386.0,2007,09
196,2007-08-01 00:00:00.000000,241388.0,2007,08
197,2007-07-01 00:00:00.000000,211263.0,2007,07
198,2007-06-01 00:00:00.000000,243703.0,2007,06
199,2007-05-01 00:00:00.000000,229326.0,2007,05
200,2007-04-01 00:00:00.000000,225558.0,2007,04
201,2007-03-01 00:00:00.000000,252090.0,2007,03
202,2007-02-01 00:00:00.000000,211359.0,2007,02
203,2007-01-01 00:00:00.000000,204185.0,2007,01
204,2006-12-01 00:00:00.000000,236933.0,2006,12
205,2006-11-01 00:00:00.000000,218853.0,2006,11
206,2006-10-01 00:00:00.000000,219885.0,2006,10
207,2006-09-01 00:00:00.000000,243185.0,2006,09
208,2006-08-01 00:00:00.000000,215695.0,2006,08
209,2006-07-01 00:00:00.000000,186090.0,2006,07
210,2006-06-01 00:00:00.000000,237564.0,2006,06
211,2006-05-01 00:00:00.000000,217869.0,2006,05
212,2006-04-01 00:00:00.000000,206157.0,2006,04
213,2006-03-01 00:00:00.000000,252659.0,2006,03
214,2006-02-01 00:00:00.000000,209478.0,2006,02
215,2006-01-01 00:00:00.000000,191920.0,2006,01
216,2005-12-01 00:00:00.000000,229512.0,2005,12
217,2005-11-01 00:00:00.000000,215562.0,2005,11
218,2005-10-01 00:00:00.000000,211650.0,2005,10
219,2005-09-01 00:00:00.000000,214582.0,2005,09
220,2005-08-01 00:00:00.000000,209010.0,2005,08
221,2005-07-01 00:00:00.000000,169437.0,2005,07
222,2005-06-01 00:00:00.000000,224203.0,2005,06
223,2005-05-01 00:00:00.000000,205691.0,2005,05
224,2005-04-01 00:00:00.000000,190899.0,2005,04
225,2005-03-01 00:00:00.000000,209708.0,2005,03
226,2005-02-01 00:00:00.000000,188951.0,2005,02
227,2005-01-01 00:00:00.000000,177594.0,2005,01
228,2004-12-01 00:00:00.000000,201172.0,2004,12
229,2004-11-01 00:00:00.000000,188131.0,2004,11
230,2004-10-01 00:00:00.000000,186918.0,2004,10
231,2004-09-01 00:00:00.000000,197167.0,2004,09
232,2004-08-01 00:00:00.000000,184662.0,2004,08
233,2004-07-01 00:00:00.000000,163925.0,2004,07
234,2004-06-01 00:00:00.000000,197458.0,2004,06
235,2004-05-01 00:00:00.000000,181865.0,2004,05
236,2004-04-01 00:00:00.000000,183752.0,2004,04
237,2004-03-01 00:00:00.000000,214611.0,2004,03
238,2004-02-01 00:00:00.000000,180111.0,2004,02
239,2004-01-01 00:00:00.000000,164926.0,2004,01
240,2003-12-01 00:00:00.000000,187904.0,2003,12
241,2003-11-01 00:00:00.000000,173368.0,2003,11
242,2003-10-01 00:00:00.000000,190591.0,2003,10
243,2003-09-01 00:00:00.000000,187270.0,2003,09
244,2003-08-01 00:00:00.000000,170612.0,2003,08
245,2003-07-01 00:00:00.000000,150336.0,2003,07
246,2003-06-01 00:00:00.000000,183990.0,2003,06
247,2003-05-01 00:00:00.000000,172361.0,2003,05
248,2003-04-01 00:00:00.000000,168168.0,2003,04
249,2003-03-01 00:00:00.000000,188854.0,2003,03
250,2003-02-01 00:00:00.000000,169363.0,2003,02
251,2003-01-01 00:00:00.000000,160196.0,2003,01
252,2002-12-01 00:00:00.000000,167098.0,2002,12
253,2002-11-01 00:00:00.000000,164310.0,2002,11
254,2002-10-01 00:00:00.000000,174042.0,2002,10
255,2002-09-01 00:00:00.000000,174195.0,2002,09
256,2002-08-01 00:00:00.000000,176987.0,2002,08
257,2002-07-01 00:00:00.000000,151584.0,2002,07
258,2002-06-01 00:00:00.000000,173578.0,2002,06
259,2002-05-01 00:00:00.000000,176314.0,2002,05
260,2002-04-01 00:00:00.000000,170163.0,2002,04
261,2002-03-01 00:00:00.000000,183541.0,2002,03
262,2002-02-01 00:00:00.000000,167694.0,2002,02
263,2002-01-01 00:00:00.000000,152537.0,2002,01
264,2001-12-01 00:00:00.000000,170130.0,2001,12
265,2001-11-01 00:00:00.000000,160265.0,2001,11
266,2001-10-01 00:00:00.000000,175302.0,2001,10
267,2001-09-01 00:00:00.000000,169765.0,2001,09
268,2001-08-01 00:00:00.000000,171491.0,2001,08
269,2001-07-01 00:00:00.000000,144702.0,2001,07
270,2001-06-01 00:00:00.000000,188450.0,2001,06
271,2001-05-01 00:00:00.000000,180620.0,2001,05
272,2001-04-01 00:00:00.000000,166962.0,2001,04
273,2001-03-01 00:00:00.000000,201321.0,2001,03
274,2001-02-01 00:00:00.000000,176646.0,2001,02
275,2001-01-01 00:00:00.000000,167108.0,2001,01
276,2000-12-01 00:00:00.000000,192978.0,2000,12
277,2000-11-01 00:00:00.000000,185475.0,2000,11
278,2000-10-01 00:00:00.000000,187704.0,2000,10
279,2000-09-01 00:00:00.000000,210685.0,2000,09
280,2000-08-01 00:00:00.000000,187688.0,2000,08
281,2000-07-01 00:00:00.000000,159903.0,2000,07
282,2000-06-01 00:00:00.000000,237143.0,2000,06
283,2000-05-01 00:00:00.000000,190188.0,2000,05
284,2000-04-01 00:00:00.000000,186872.0,2000,04
285,2000-03-01 00:00:00.000000,212974.0,2000,03
286,2000-02-01 00:00:00.000000,189153.0,2000,02
287,2000-01-01 00:00:00.000000,185813.0,2000,01
288,1999-12-01 00:00:00.000000,202677.0,1999,12
289,1999-11-01 00:00:00.000000,183986.0,1999,11
290,1999-10-01 00:00:00.000000,193889.0,1999,10
291,1999-09-01 00:00:00.000000,202427.0,1999,09
292,1999-08-01 00:00:00.000000,186590.0,1999,08
293,1999-07-01 00:00:00.000000,159656.0,1999,07
294,1999-06-01 00:00:00.000000,198372.0,1999,06
295,1999-05-01 00:00:00.000000,182326.0,1999,05
296,1999-04-01 00:00:00.000000,180224.0,1999,04
297,1999-03-01 00:00:00.000000,204755.0,1999,03
298,1999-02-01 00:00:00.000000,185255.0,1999,02
299,1999-01-01 00:00:00.000000,171934.0,1999,01
300,1998-12-01 00:00:00.000000,185472.0,1998,12
301,1998-11-01 00:00:00.000000,177925.0,1998,11
302,1998-10-01 00:00:00.000000,181357.0,1998,10
303,1998-09-01 00:00:00.000000,193961.0,1998,09
304,1998-08-01 00:00:00.000000,173662.0,1998,08
305,1998-07-01 00:00:00.000000,145785.0,1998,07
306,1998-06-01 00:00:00.000000,187991.0,1998,06
307,1998-05-01 00:00:00.000000,175154.0,1998,05
308,1998-04-01 00:00:00.000000,178239.0,1998,04
309,1998-03-01 00:00:00.000000,193649.0,1998,03
310,1998-02-01 00:00:00.000000,182332.0,1998,02
311,1998-01-01 00:00:00.000000,164391.0,1998,01
312,1997-12-01 00:00:00.000000,179906.0,1997,12
313,1997-11-01 00:00:00.000000,185230.0,1997,11
314,1997-10-01 00:00:00.000000,183393.0,1997,10
315,1997-09-01 00:00:00.000000,190959.0,1997,09
316,1997-08-01 00:00:00.000000,170465.0,1997,08
317,1997-07-01 00:00:00.000000,150782.0,1997,07
318,1997-06-01 00:00:00.000000,187205.0,1997,06
319,1997-05-01 00:00:00.000000,165694.0,1997,05
320,1997-04-01 00:00:00.000000,170687.0,1997,04
321,1997-03-01 00:00:00.000000,180530.0,1997,03
322,1997-02-01 00:00:00.000000,172311.0,1997,02
323,1997-01-01 00:00:00.000000,155358.0,1997,01
324,1996-12-01 00:00:00.000000,166228.0,1996,12
325,1996-11-01 00:00:00.000000,168650.0,1996,11
326,1996-10-01 00:00:00.000000,169459.0,1996,10
327,1996-09-01 00:00:00.000000,174797.0,1996,09
328,1996-08-01 00:00:00.000000,153637.0,1996,08
329,1996-07-01 00:00:00.000000,138374.0,1996,07
330,1996-06-01 00:00:00.000000,172897.0,1996,06
331,1996-05-01 00:00:00.000000,163769.0,1996,05
332,1996-04-01 00:00:00.000000,155093.0,1996,04
333,1996-03-01 00:00:00.000000,176264.0,1996,03
334,1996-02-01 00:00:00.000000,159185.0,1996,02
335,1996-01-01 00:00:00.000000,150440.0,1996,01
336,1995-12-01 00:00:00.000000,163769.0,1995,12
337,1995-11-01 00:00:00.000000,156881.0,1995,11
338,1995-10-01 00:00:00.000000,158469.0,1995,10
339,1995-09-01 00:00:00.000000,168324.0,1995,09
340,1995-08-01 00:00:00.000000,151465.0,1995,08
341,1995-07-01 00:00:00.000000,123259.0,1995,07
342,1995-06-01 00:00:00.000000,161688.0,1995,06
343,1995-05-01 00:00:00.000000,151770.0,1995,05
344,1995-04-01 00:00:00.000000,146225.0,1995,04
345,1995-03-01 00:00:00.000000,167745.0,1995,03
346,1995-02-01 00:00:00.000000,156606.0,1995,02
347,1995-01-01 00:00:00.000000,143440.0,1995,01
348,1994-12-01 00:00:00.000000,154895.0,1994,12
349,1994-11-01 00:00:00.000000,150202.0,1994,11
350,1994-10-01 00:00:00.000000,151572.0,1994,10
351,1994-09-01 00:00:00.000000,153625.0,1994,09
352,1994-08-01 00:00:00.000000,142852.0,1994,08
353,1994-07-01 00:00:00.000000,119501.0,1994,07
354,1994-06-01 00:00:00.000000,155070.0,1994,06
355,1994-05-01 00:00:00.000000,140366.0,1994,05
356,1994-04-01 00:00:00.000000,137847.0,1994,04
357,1994-03-01 00:00:00.000000,149256.0,1994,03
358,1994-02-01 00:00:00.000000,139057.0,1994,02
359,1994-01-01 00:00:00.000000,131392.0,1994,01
360,1993-12-01 00:00:00.000000,138273.0,1993,12
361,1993-11-01 00:00:00.000000,131460.0,1993,11
362,1993-10-01 00:00:00.000000,135483.0,1993,10
363,1993-09-01 00:00:00.000000,134114.0,1993,09
364,1993-08-01 00:00:00.000000,124150.0,1993,08
365,1993-07-01 00:00:00.000000,107698.0,1993,07
366,1993-06-01 00:00:00.000000,138459.0,1993,06
367,1993-05-01 00:00:00.000000,123210.0,1993,05
368,1993-04-01 00:00:00.000000,126589.0,1993,04
369,1993-03-01 00:00:00.000000,138668.0,1993,03
370,1993-02-01 00:00:00.000000,130164.0,1993,02
371,1993-01-01 00:00:00.000000,115794.0,1993,01
372,1992-12-01 00:00:00.000000,131937.0,1992,12
373,1992-11-01 00:00:00.000000,121759.0,1992,11
374,1992-10-01 00:00:00.000000,131334.0,1992,10
375,1992-09-01 00:00:00.000000,126277.0,1992,09
376,1992-08-01 00:00:00.000000,113623.0,1992,08
377,1992-07-01 00:00:00.000000,103025.0,1992,07
378,1992-06-01 00:00:00.000000,131268.0,1992,06
379,1992-05-01 00:00:00.000000,122274.0,1992,05
380,1992-04-01 00:00:00.000000,123268.0,1992,04
381,1992-03-01 00:00:00.000000,129309.0,1992,03
382,1992-02-01 00:00:00.000000,118429.0,1992,02
